ATENDIMENTO_BAIRRO_NOME,ATENDIMENTO_ANO,OCORRENCIA_MES,NATUREZA1_DESCRICAO,count
ABRANCHES,2012,8,Dano,2
ABRANCHES,2012,8,Desinteligência,1
ABRANCHES,2012,8,Orientação,1
ABRANCHES,2012,8,Paciente/usuário alterado,1
ABRANCHES,2012,8,Substância Ilícita,1
ABRANCHES,2012,8,Trânsito,1
ABRANCHES,2012,9,Apoio,3
ABRANCHES,2012,9,Atos obscenos/libidinosos,1
ABRANCHES,2012,9,Dano,1
ABRANCHES,2012,9,Desobediência,1
ABRANCHES,2012,9,Risco de queda de poste,1
ABRANCHES,2012,9,Substância Ilícita,2
ABRANCHES,2012,10,Ameaça,1
ABRANCHES,2012,10,Apoio,2
ABRANCHES,2012,10,Dano,6
ABRANCHES,2012,10,Queda de árvore,1
ABRANCHES,2012,10,Substância Ilícita,2
ABRANCHES,2012,11,Ameaça,1
ABRANCHES,2012,11,Animais,1
ABRANCHES,2012,11,Apoio,3
ABRANCHES,2012,11,Dano,2
ABRANCHES,2012,11,Paciente/usuário alterado,1
ABRANCHES,2012,11,Perturbação do sossego,1
ABRANCHES,2012,11,Substância Ilícita,1
ABRANCHES,2012,12,Apoio,1
ABRANCHES,2012,12,Crime ambiental,1
ABRANCHES,2012,12,Dano,3
ABRANCHES,2012,12,Desabamento,1
ABRANCHES,2012,12,Destelhamento,2
ABRANCHES,2012,12,Erosão,1
ABRANCHES,2013,1,Agressão física/verbal,1
ABRANCHES,2013,1,Apoio,1
ABRANCHES,2013,1,Atitude suspeita,1
ABRANCHES,2013,1,Dano,3
ABRANCHES,2013,1,Invasão,2
ABRANCHES,2013,1,Substância Ilícita,1
ABRANCHES,2013,2,Achado,1
ABRANCHES,2013,2,Animais,1
ABRANCHES,2013,2,Apoio,1
ABRANCHES,2013,2,Atitude suspeita,1
ABRANCHES,2013,2,Dano,2
ABRANCHES,2013,2,Invasão,1
ABRANCHES,2013,2,Queima a céu aberto,1
ABRANCHES,2013,3,Animais,2
ABRANCHES,2013,3,Apoio,1
ABRANCHES,2013,3,Dano,4
ABRANCHES,2013,3,Depósito irregular,1
ABRANCHES,2013,3,Furto,1
ABRANCHES,2013,3,Invasão,1
ABRANCHES,2013,3,Vias de fato,1
ABRANCHES,2013,4,Dano,1
ABRANCHES,2013,4,Desaparecimento,1
ABRANCHES,2013,4,Invasão,2
ABRANCHES,2013,5,Animais,1
ABRANCHES,2013,5,Corte irregular de árvore,1
ABRANCHES,2013,5,Crime ambiental,1
ABRANCHES,2013,5,Dano,2
ABRANCHES,2013,5,Invasão,1
ABRANCHES,2013,5,Trânsito,1
ABRANCHES,2013,5,Veículo,1
ABRANCHES,2013,6,Alarmes,3
ABRANCHES,2013,6,Animais,4
ABRANCHES,2013,6,Apoio,1
ABRANCHES,2013,6,Dano,3
ABRANCHES,2013,6,Risco de desabamento / desmoronamento,1
ABRANCHES,2013,7,Animais,1
ABRANCHES,2013,7,Apoio,2
ABRANCHES,2013,7,Dano,2
ABRANCHES,2013,7,Invasão,4
ABRANCHES,2013,7,Poluição visual/ambiental,1
ABRANCHES,2013,7,Queima a céu aberto,1
ABRANCHES,2013,7,Substância Ilícita,1
ABRANCHES,2013,8,Apoio,3
ABRANCHES,2013,8,Dano,1
ABRANCHES,2013,8,Trânsito,1
ABRANCHES,2013,8,"Usar de uniforme, ou distintivo de função pública que não exerce",1
ABRANCHES,2013,9,Abordagem,1
ABRANCHES,2013,9,Animais,5
ABRANCHES,2013,9,Apoio,2
ABRANCHES,2013,9,Dano,2
ABRANCHES,2013,9,Desaparecimento,1
ABRANCHES,2013,9,Desinteligência,1
ABRANCHES,2013,9,Destelhamento,1
ABRANCHES,2013,9,Roubo,1
ABRANCHES,2013,9,Substância Ilícita,1
ABRANCHES,2013,10,Abordagem,1
ABRANCHES,2013,10,Animais,4
ABRANCHES,2013,10,Atitude suspeita,2
ABRANCHES,2013,10,Criança perdida/desaparecida,1
ABRANCHES,2013,10,Dano,1
ABRANCHES,2013,11,Abordagem,1
ABRANCHES,2013,11,Alarmes,1
ABRANCHES,2013,11,Ameaça,1
ABRANCHES,2013,11,Animais,2
ABRANCHES,2013,11,Apoio,3
ABRANCHES,2013,11,Invasão,1
ABRANCHES,2013,11,Perturbação do sossego,1
ABRANCHES,2013,12,Abordagem,1
ABRANCHES,2013,12,Animais,1
ABRANCHES,2013,12,Apoio,1
ABRANCHES,2013,12,Dano,1
ABRANCHES,2013,12,Destelhamento,1
ABRANCHES,2013,12,Invasão,2
ABRANCHES,2013,12,Queima a céu aberto,1
ABRANCHES,2013,12,Roubo,1
ABRANCHES,2013,12,Substância Ilícita,1
ABRANCHES,2013,12,Trânsito,1
ABRANCHES,2014,1,Animais,1
ABRANCHES,2014,1,Apoio,2
ABRANCHES,2014,1,Dano,2
ABRANCHES,2014,1,Depósito irregular,1
ABRANCHES,2014,1,Desinteligência,1
ABRANCHES,2014,1,Furto,1
ABRANCHES,2014,1,Invasão,2
ABRANCHES,2014,1,Queima a céu aberto,1
ABRANCHES,2014,1,Risco de desabamento / desmoronamento,1
ABRANCHES,2014,1,Trânsito,1
ABRANCHES,2014,2,Alarmes,1
ABRANCHES,2014,2,Animais,1
ABRANCHES,2014,2,Apoio,2
ABRANCHES,2014,2,Dano,1
ABRANCHES,2014,2,Invasão,1
ABRANCHES,2014,2,Paciente/usuário alterado,1
ABRANCHES,2014,2,Perturbação do sossego,1
ABRANCHES,2014,2,Queima a céu aberto,1
ABRANCHES,2014,2,Roubo,1
ABRANCHES,2014,2,Trânsito,1
ABRANCHES,2014,3,Agressão física/verbal,1
ABRANCHES,2014,3,Animais,1
ABRANCHES,2014,3,Apoio,3
ABRANCHES,2014,3,Conduta inconveniente,1
ABRANCHES,2014,3,Dano,3
ABRANCHES,2014,3,Depósito irregular,1
ABRANCHES,2014,3,Invasão,1
ABRANCHES,2014,3,Roubo,3
ABRANCHES,2014,4,Animais,6
ABRANCHES,2014,4,Apoio,2
ABRANCHES,2014,4,Dano,3
ABRANCHES,2014,4,Perturbação do sossego,1
ABRANCHES,2014,4,Roubo,1
ABRANCHES,2014,4,Substância Ilícita,1
ABRANCHES,2014,5,Apoio,2
ABRANCHES,2014,5,Ronda,1
ABRANCHES,2014,5,Trânsito,1
ABRANCHES,2014,6,Animais,2
ABRANCHES,2014,6,Atitude suspeita,1
ABRANCHES,2014,6,Corte irregular de árvore,1
ABRANCHES,2014,6,Dano,5
ABRANCHES,2014,6,Desacato,1
ABRANCHES,2014,6,Estupro,1
ABRANCHES,2014,6,Moeda Falsa,1
ABRANCHES,2014,6,Orientação,2
ABRANCHES,2014,6,Substância Ilícita,8
ABRANCHES,2014,7,Dano,1
ABRANCHES,2014,7,Desinteligência,1
ABRANCHES,2014,7,Invasão,2
ABRANCHES,2014,7,Roubo,2
ABRANCHES,2014,7,Substância Ilícita,1
ABRANCHES,2014,8,Abordagem,1
ABRANCHES,2014,8,Animais,3
ABRANCHES,2014,8,Apoio,3
ABRANCHES,2014,8,Criança perdida/desaparecida,1
ABRANCHES,2014,8,Dano,3
ABRANCHES,2014,8,Invasão,1
ABRANCHES,2014,8,Queima a céu aberto,1
ABRANCHES,2014,9,Abordagem,2
ABRANCHES,2014,9,Animais,1
ABRANCHES,2014,9,Atitude suspeita,2
ABRANCHES,2014,9,Dano,2
ABRANCHES,2014,9,Destelhamento,1
ABRANCHES,2014,9,Invasão,2
ABRANCHES,2014,9,Roubo,2
ABRANCHES,2014,10,Agressão física/verbal,1
ABRANCHES,2014,10,Ameaça,1
ABRANCHES,2014,10,Animais,2
ABRANCHES,2014,10,Apoio,4
ABRANCHES,2014,10,Dano,1
ABRANCHES,2014,10,Embriaguez,1
ABRANCHES,2014,10,Furto,1
ABRANCHES,2014,10,Invasão,1
ABRANCHES,2014,10,Perturbação do sossego,2
ABRANCHES,2014,10,Substância Ilícita,2
ABRANCHES,2014,10,Trânsito,1
ABRANCHES,2014,11,Achado,1
ABRANCHES,2014,11,Ameaça,1
ABRANCHES,2014,11,Apoio,7
ABRANCHES,2014,11,Criança perdida/desaparecida,2
ABRANCHES,2014,11,Dano,1
ABRANCHES,2014,11,Desinteligência,1
ABRANCHES,2014,11,Incêndio,1
ABRANCHES,2014,11,Substância Ilícita,1
ABRANCHES,2014,11,Trânsito,1
ABRANCHES,2014,12,Abordagem,1
ABRANCHES,2014,12,Apoio,1
ABRANCHES,2014,12,Dano,2
ABRANCHES,2014,12,Desabamento,1
ABRANCHES,2014,12,Furto,1
ABRANCHES,2014,12,Orientação,1
ABRANCHES,2014,12,Risco de desabamento / desmoronamento,1
ABRANCHES,2014,12,Roubo,2
ABRANCHES,2014,12,Vistoria,1
ABRANCHES,2015,1,Abordagem,1
ABRANCHES,2015,1,Apoio,4
ABRANCHES,2015,1,Atitude suspeita,1
ABRANCHES,2015,1,Dano,4
ABRANCHES,2015,1,Disparo de arma,1
ABRANCHES,2015,1,Furto,1
ABRANCHES,2015,1,Invasão,1
ABRANCHES,2015,1,Tentativa,1
ABRANCHES,2015,2,Alagamento,1
ABRANCHES,2015,2,Apoio,2
ABRANCHES,2015,2,Atitude suspeita,1
ABRANCHES,2015,2,Dano,1
ABRANCHES,2015,2,Desinteligência,1
ABRANCHES,2015,2,Destelhamento,1
ABRANCHES,2015,2,Disparo de arma,2
ABRANCHES,2015,2,Invasão,1
ABRANCHES,2015,2,Risco de desabamento / desmoronamento,1
ABRANCHES,2015,2,Roubo,1
ABRANCHES,2015,2,Trânsito,2
ABRANCHES,2015,2,Veículo,1
ABRANCHES,2015,3,Abordagem,1
ABRANCHES,2015,3,Agressão física/verbal,3
ABRANCHES,2015,3,Ameaça,1
ABRANCHES,2015,3,Animais,2
ABRANCHES,2015,3,Apoio,2
ABRANCHES,2015,3,Atitude suspeita,1
ABRANCHES,2015,3,Invasão,1
ABRANCHES,2015,4,Agressão física/verbal,1
ABRANCHES,2015,4,Apoio,1
ABRANCHES,2015,4,Invasão,2
ABRANCHES,2015,4,Queima a céu aberto,1
ABRANCHES,2015,4,Substância Ilícita,1
ABRANCHES,2015,5,Abordagem,1
ABRANCHES,2015,5,Animais,2
ABRANCHES,2015,5,Apoio,3
ABRANCHES,2015,5,Invasão,2
ABRANCHES,2015,5,Orientação,1
ABRANCHES,2015,5,Queima a céu aberto,2
ABRANCHES,2015,5,Risco de acidente / à vida,3
ABRANCHES,2015,5,Risco de desabamento / desmoronamento,1
ABRANCHES,2015,5,Roubo,1
ABRANCHES,2015,6,Abordagem,1
ABRANCHES,2015,6,Ameaça,2
ABRANCHES,2015,6,Apoio,4
ABRANCHES,2015,6,Dano,1
ABRANCHES,2015,6,Furto,1
ABRANCHES,2015,7,Ameaça,1
ABRANCHES,2015,7,Apoio,2
ABRANCHES,2015,7,Atitude suspeita,1
ABRANCHES,2015,7,Dano,2
ABRANCHES,2015,7,Disparo de arma,1
ABRANCHES,2015,7,Furto,1
ABRANCHES,2015,7,Homicídio,1
ABRANCHES,2015,7,Incêndio,1
ABRANCHES,2015,7,Invasão,2
ABRANCHES,2015,7,Orientação,1
ABRANCHES,2015,8,Ameaça,1
ABRANCHES,2015,8,Animais,2
ABRANCHES,2015,8,Apoio,4
ABRANCHES,2015,8,Dano,3
ABRANCHES,2015,8,Desaparecimento,1
ABRANCHES,2015,8,Destelhamento,1
ABRANCHES,2015,8,Invasão,1
ABRANCHES,2015,8,Orientação,1
ABRANCHES,2015,8,Roubo,1
ABRANCHES,2015,8,Veículo,1
ABRANCHES,2015,9,Abordagem,1
ABRANCHES,2015,9,Animais,2
ABRANCHES,2015,9,Apoio,6
ABRANCHES,2015,9,Dano,2
ABRANCHES,2015,9,Orientação,1
ABRANCHES,2015,9,Perturbação do sossego,3
ABRANCHES,2015,9,Roubo,1
ABRANCHES,2015,9,Trânsito,1
ABRANCHES,2015,10,Abordagem,2
ABRANCHES,2015,10,Agressão física/verbal,2
ABRANCHES,2015,10,Ameaça,2
ABRANCHES,2015,10,Animais,2
ABRANCHES,2015,10,Atitude suspeita,1
ABRANCHES,2015,10,Dano,3
ABRANCHES,2015,10,Desabamento,1
ABRANCHES,2015,11,Abordagem,2
ABRANCHES,2015,11,Ameaça,1
ABRANCHES,2015,11,Apoio,2
ABRANCHES,2015,11,Dano,1
ABRANCHES,2015,11,Invasão,1
ABRANCHES,2015,11,Paciente/usuário alterado,1
ABRANCHES,2015,12,Abordagem,1
ABRANCHES,2015,12,Apoio,4
ABRANCHES,2015,12,Dano,1
ABRANCHES,2015,12,Invasão,1
ABRANCHES,2015,12,Proteção ao patrimônio,1
ABRANCHES,2015,12,Substância Ilícita,1
ABRANCHES,2015,12,Trânsito,1
ABRANCHES,2015,12,Veículo,1
ABRANCHES,2016,1,Ameaça,1
ABRANCHES,2016,1,Apoio,2
ABRANCHES,2016,1,Dano,6
ABRANCHES,2016,1,Invasão,1
ABRANCHES,2016,1,Queda de árvore,2
ABRANCHES,2016,1,Roubo,2
ABRANCHES,2016,1,Substância Ilícita,1
ABRANCHES,2016,1,Trânsito,1
ABRANCHES,2016,1,Vias de fato,2
ABRANCHES,2016,2,Ameaça,1
ABRANCHES,2016,2,Apoio,6
ABRANCHES,2016,2,Invasão,1
ABRANCHES,2016,2,Lesão Corporal,1
ABRANCHES,2016,2,Perturbação do sossego,1
ABRANCHES,2016,2,Veículo,1
ABRANCHES,2016,3,Abordagem,2
ABRANCHES,2016,3,Ameaça,2
ABRANCHES,2016,3,Apoio,2
ABRANCHES,2016,3,Dano,1
ABRANCHES,2016,3,Perturbação do sossego,1
ABRANCHES,2016,3,Queima a céu aberto,1
ABRANCHES,2016,4,Abordagem,2
ABRANCHES,2016,4,Ameaça,3
ABRANCHES,2016,4,Apoio,5
ABRANCHES,2016,4,Atos obscenos/libidinosos,1
ABRANCHES,2016,4,Dano,1
ABRANCHES,2016,4,Invasão,1
ABRANCHES,2016,4,Perturbação do sossego,1
ABRANCHES,2016,4,Risco de acidente / à vida,1
ABRANCHES,2016,4,Trânsito,3
ABRANCHES,2016,4,Veículo,1
ABRANCHES,2016,5,Ameaça,2
ABRANCHES,2016,5,Dano,2
ABRANCHES,2016,5,Invasão,1
ABRANCHES,2016,5,Roubo,1
ABRANCHES,2016,6,Abordagem,1
ABRANCHES,2016,6,Apoio,2
ABRANCHES,2016,6,Atitude suspeita,1
ABRANCHES,2016,6,Dano,3
ABRANCHES,2016,6,Invasão,1
ABRANCHES,2016,6,Queima a céu aberto,1
ABRANCHES,2016,6,Ronda,1
ABRANCHES,2016,6,Roubo,2
ABRANCHES,2016,6,Veículo,1
ABRANCHES,2016,7,Agressão física/verbal,1
ABRANCHES,2016,7,Alagamento,1
ABRANCHES,2016,7,Ameaça,1
ABRANCHES,2016,7,Constrangimento ilegal,1
ABRANCHES,2016,7,Depósito irregular,1
ABRANCHES,2016,7,Invasão,1
ABRANCHES,2016,8,Apoio,4
ABRANCHES,2016,8,Atitude suspeita,1
ABRANCHES,2016,8,Disparo de arma,1
ABRANCHES,2016,8,Roubo,1
ABRANCHES,2016,8,Substância Ilícita,1
ABRANCHES,2016,9,Apoio,2
ABRANCHES,2016,9,Dano,1
ABRANCHES,2016,9,Invasão,1
ABRANCHES,2016,9,Queima a céu aberto,2
ABRANCHES,2016,9,Roubo,1
ABRANCHES,2016,10,Apoio,1
ABRANCHES,2016,10,Invasão,1
ABRANCHES,2016,10,Paciente/usuário alterado,1
ABRANCHES,2016,10,Risco de desabamento / desmoronamento,1
ABRANCHES,2016,10,Trânsito,1
ABRANCHES,2016,11,Animais,1
ABRANCHES,2016,11,Apoio,2
ABRANCHES,2016,11,Dano,2
ABRANCHES,2016,11,Invasão,2
ABRANCHES,2016,11,Perturbação do sossego,1
ABRANCHES,2016,11,Trânsito,1
ABRANCHES,2016,12,Abordagem,1
ABRANCHES,2016,12,Agressão física/verbal,1
ABRANCHES,2016,12,Apoio,2
ABRANCHES,2016,12,Furto,1
ABRANCHES,2016,12,Violação de Medida Protetiva Lei Maria da Penha,1
ABRANCHES,2016,12,Vistoria,1
ABRANCHES,2017,1,Abordagem,1
ABRANCHES,2017,1,Alarmes,4
ABRANCHES,2017,1,Dano,5
ABRANCHES,2017,1,Furto,2
ABRANCHES,2017,1,Invasão,2
ABRANCHES,2017,1,Paciente/usuário alterado,1
ABRANCHES,2017,1,Queima a céu aberto,1
ABRANCHES,2017,1,Roubo,1
ABRANCHES,2017,1,Substância Ilícita,1
ABRANCHES,2017,2,Alagamento,1
ABRANCHES,2017,2,Ameaça,1
ABRANCHES,2017,2,Dano,3
ABRANCHES,2017,2,Furto,1
ABRANCHES,2017,2,Invasão,1
ABRANCHES,2017,2,Ronda,1
ABRANCHES,2017,2,Roubo,1
ABRANCHES,2017,2,Substância Ilícita,1
ABRANCHES,2017,2,Vias de fato,1
ABRANCHES,2017,2,Vistoria,1
ABRANCHES,2017,3,Ameaça,2
ABRANCHES,2017,3,Apoio,2
ABRANCHES,2017,3,Dano,1
ABRANCHES,2017,3,Invasão,2
ABRANCHES,2017,3,Roubo,1
ABRANCHES,2017,3,Substância Ilícita,1
ABRANCHES,2017,3,Tentativa,1
