ATENDIMENTO_ANO,OCORRENCIA_MES,NATUREZA1_DESCRICAO,ATENDIMENTO_BAIRRO_NOME,n
2009,1,Abordagem,XAXIM,1
2009,1,Achado,BOQUEIRÃO,1
2009,1,Achado,SÃO FRANCISCO,1
2009,1,Achado,SÍTIO CERCADO,1
2009,1,Agressão física/verbal,BACACHERI,3
2009,1,Agressão física/verbal,BOA VISTA,1
2009,1,Agressão física/verbal,BOQUEIRÃO,4
2009,1,Agressão física/verbal,CAJURU,3
2009,1,Agressão física/verbal,CAMPO COMPRIDO,1
2009,1,Agressão física/verbal,CAPÃO RASO,1
2009,1,Agressão física/verbal,CENTRO,5
2009,1,Agressão física/verbal,CIDADE INDUSTRIAL,1
2009,1,Agressão física/verbal,GUAÍRA,1
2009,1,Agressão física/verbal,MOSSUNGUÊ,1
2009,1,Agressão física/verbal,PINHEIRINHO,1
2009,1,Agressão física/verbal,PORTÃO,1
2009,1,Agressão física/verbal,SANTA CÂNDIDA,2
2009,1,Agressão física/verbal,SANTA QUITÉRIA,1
2009,1,Agressão física/verbal,SÍTIO CERCADO,4
2009,1,Alagamento,ALTO BOQUEIRÃO,2
2009,1,Alagamento,BARREIRINHA,1
2009,1,Alagamento,BATEL,1
2009,1,Alagamento,BOA VISTA,2
2009,1,Alagamento,BOQUEIRÃO,5
2009,1,Alagamento,BUTIATUVINHA,1
2009,1,Alagamento,CAJURU,3
2009,1,Alagamento,CAMPINA DO SIQUEIRA,1
2009,1,Alagamento,CAMPO COMPRIDO,4
2009,1,Alagamento,CAPÃO DA IMBUIA,3
2009,1,Alagamento,CASCATINHA,1
2009,1,Alagamento,CENTRO,2
2009,1,Alagamento,CIDADE INDUSTRIAL,20
2009,1,Alagamento,FAZENDINHA,3
2009,1,Alagamento,JARDIM BOTÂNICO,1
2009,1,Alagamento,JARDIM DAS AMÉRICAS,1
2009,1,Alagamento,NOVO MUNDO,1
2009,1,Alagamento,PILARZINHO,2
2009,1,Alagamento,PINHEIRINHO,3
2009,1,Alagamento,PORTÃO,2
2009,1,Alagamento,PRADO VELHO,1
2009,1,Alagamento,REBOUÇAS,4
2009,1,Alagamento,SANTA CÂNDIDA,2
2009,1,Alagamento,SEMINÁRIO,1
2009,1,Alagamento,SÍTIO CERCADO,4
2009,1,Alagamento,TATUQUARA,4
2009,1,Alagamento,UBERABA,3
2009,1,Alagamento,XAXIM,2
2009,1,Alarmes,ÁGUA VERDE,3
2009,1,Alarmes,BAIRRO ALTO,1
2009,1,Alarmes,BOA VISTA,1
2009,1,Alarmes,BOQUEIRÃO,7
2009,1,Alarmes,CACHOEIRA,1
2009,1,Alarmes,CAJURU,11
2009,1,Alarmes,CAMPO COMPRIDO,5
2009,1,Alarmes,CAMPO DE SANTANA,3
2009,1,Alarmes,CAPÃO DA IMBUIA,3
2009,1,Alarmes,CAXIMBA,1
2009,1,Alarmes,CENTRO,2
2009,1,Alarmes,CIDADE INDUSTRIAL,23
2009,1,Alarmes,FAZENDINHA,2
2009,1,Alarmes,GUAÍRA,1
2009,1,Alarmes,JARDIM BOTÂNICO,2
2009,1,Alarmes,NOVO MUNDO,12
2009,1,Alarmes,ORLEANS,2
2009,1,Alarmes,PILARZINHO,10
2009,1,Alarmes,PINHEIRINHO,6
2009,1,Alarmes,PORTÃO,1
2009,1,Alarmes,PRADO VELHO,2
2009,1,Alarmes,REBOUÇAS,3
2009,1,Alarmes,SANTA CÂNDIDA,2
2009,1,Alarmes,SANTA FELICIDADE,14
2009,1,Alarmes,SANTA QUITÉRIA,1
2009,1,Alarmes,SÃO BRAZ,1
2009,1,Alarmes,SÍTIO CERCADO,24
2009,1,Alarmes,TATUQUARA,18
2009,1,Alarmes,UBERABA,6
2009,1,Alarmes,UMBARÁ,2
2009,1,Alarmes,XAXIM,2
2009,1,Ameaça,BOQUEIRÃO,1
2009,1,Ameaça,CAMPINA DO SIQUEIRA,1
2009,1,Ameaça,CENTRO,3
2009,1,Ameaça,JARDIM BOTÂNICO,1
2009,1,Ameaça,NOVO MUNDO,1
2009,1,Ameaça,PINHEIRINHO,1
2009,1,Ameaça,PORTÃO,1
2009,1,Ameaça,SANTA CÂNDIDA,1
2009,1,Ameaça,SANTA FELICIDADE,1
2009,1,Ameaça,SÃO FRANCISCO,1
2009,1,Ameaça,SÍTIO CERCADO,1
2009,1,Animais,ABRANCHES,5
2009,1,Animais,ÁGUA VERDE,4
2009,1,Animais,AHÚ,1
2009,1,Animais,ALTO BOQUEIRÃO,8
2009,1,Animais,ALTO DA GLÓRIA,1
2009,1,Animais,ATUBA,1
2009,1,Animais,AUGUSTA,4
2009,1,Animais,BACACHERI,1
2009,1,Animais,BAIRRO ALTO,8
2009,1,Animais,BIGORRILHO,2
2009,1,Animais,BOA VISTA,5
2009,1,Animais,BOM RETIRO,2
2009,1,Animais,BOQUEIRÃO,4
2009,1,Animais,BUTIATUVINHA,2
2009,1,Animais,CACHOEIRA,1
2009,1,Animais,CAJURU,13
2009,1,Animais,CAMPINA DO SIQUEIRA,1
2009,1,Animais,CAMPO COMPRIDO,1
2009,1,Animais,CAMPO DE SANTANA,2
2009,1,Animais,CAPÃO DA IMBUIA,6
2009,1,Animais,CAPÃO RASO,3
2009,1,Animais,CENTRO CÍVICO,2
2009,1,Animais,CIDADE INDUSTRIAL,20
2009,1,Animais,FANNY,2
2009,1,Animais,FAZENDINHA,7
2009,1,Animais,GUABIROTUBA,1
2009,1,Animais,GUAÍRA,3
2009,1,Animais,HAUER,2
2009,1,Animais,JARDIM DAS AMÉRICAS,4
2009,1,Animais,JARDIM SOCIAL,2
2009,1,Animais,MOSSUNGUÊ,2
2009,1,Animais,NOVO MUNDO,8
2009,1,Animais,ORLEANS,2
2009,1,Animais,PILARZINHO,2
2009,1,Animais,PINHEIRINHO,3
2009,1,Animais,PORTÃO,11
2009,1,Animais,PRADO VELHO,7
2009,1,Animais,REBOUÇAS,1
2009,1,Animais,SANTA CÂNDIDA,9
2009,1,Animais,SANTA FELICIDADE,9
2009,1,Animais,SANTA QUITÉRIA,1
2009,1,Animais,SANTO INÁCIO,6
2009,1,Animais,SÃO BRAZ,4
2009,1,Animais,SÃO LOURENÇO,2
2009,1,Animais,SÍTIO CERCADO,14
2009,1,Animais,TABOÃO,2
2009,1,Animais,TARUMÃ,3
2009,1,Animais,TATUQUARA,3
2009,1,Animais,TINGUI,3
2009,1,Animais,UBERABA,11
2009,1,Animais,UMBARÁ,4
2009,1,Animais,VILA IZABEL,1
2009,1,Animais,VISTA ALEGRE,1
2009,1,Animais,XAXIM,4
2009,1,Apoio,ÁGUA VERDE,1
2009,1,Apoio,AHÚ,1
2009,1,Apoio,ALTO BOQUEIRÃO,4
2009,1,Apoio,ALTO DA GLÓRIA,1
2009,1,Apoio,ALTO DA RUA XV,2
2009,1,Apoio,ATUBA,1
2009,1,Apoio,AUGUSTA,2
2009,1,Apoio,BACACHERI,1
2009,1,Apoio,BAIRRO ALTO,1
2009,1,Apoio,BARREIRINHA,4
2009,1,Apoio,BOA VISTA,6
2009,1,Apoio,BOQUEIRÃO,8
2009,1,Apoio,CABRAL,1
2009,1,Apoio,CAJURU,3
2009,1,Apoio,CAMPO COMPRIDO,4
2009,1,Apoio,CAPÃO DA IMBUIA,3
2009,1,Apoio,CAPÃO RASO,3
2009,1,Apoio,CENTRO,37
2009,1,Apoio,CIDADE INDUSTRIAL,10
2009,1,Apoio,FANNY,1
2009,1,Apoio,FAZENDINHA,3
2009,1,Apoio,GUAÍRA,1
2009,1,Apoio,HAUER,3
2009,1,Apoio,JARDIM BOTÂNICO,3
2009,1,Apoio,NOVO MUNDO,3
2009,1,Apoio,PAROLIN,1
2009,1,Apoio,PINHEIRINHO,2
2009,1,Apoio,PORTÃO,2
2009,1,Apoio,PRADO VELHO,1
2009,1,Apoio,REBOUÇAS,2
2009,1,Apoio,SANTA CÂNDIDA,3
2009,1,Apoio,SANTA FELICIDADE,3
2009,1,Apoio,SANTO INÁCIO,4
2009,1,Apoio,SÃO FRANCISCO,2
2009,1,Apoio,SÃO JOÃO,2
2009,1,Apoio,SÍTIO CERCADO,16
2009,1,Apoio,TABOÃO,4
2009,1,Apoio,UMBARÁ,1
2009,1,Apoio,XAXIM,4
2009,1,Apologia de crime ou criminoso,SÍTIO CERCADO,1
2009,1,Ataque de insetos,CENTRO CÍVICO,1
2009,1,Atitude suspeita,ÁGUA VERDE,2
2009,1,Atitude suspeita,ALTO BOQUEIRÃO,1
2009,1,Atitude suspeita,BACACHERI,1
2009,1,Atitude suspeita,CAJURU,1
2009,1,Atitude suspeita,CAMPO COMPRIDO,1
2009,1,Atitude suspeita,CASCATINHA,1
2009,1,Atitude suspeita,CENTRO,18
2009,1,Atitude suspeita,CENTRO CÍVICO,3
2009,1,Atitude suspeita,CIDADE INDUSTRIAL,2
2009,1,Atitude suspeita,NOVO MUNDO,1
2009,1,Atitude suspeita,PORTÃO,1
2009,1,Atitude suspeita,SANTA FELICIDADE,1
2009,1,Atitude suspeita,SÃO LOURENÇO,1
2009,1,Atos obscenos/libidinosos,BACACHERI,1
2009,1,Atos obscenos/libidinosos,BOQUEIRÃO,1
2009,1,Atos obscenos/libidinosos,CAPÃO RASO,1
2009,1,Atos obscenos/libidinosos,CENTRO,4
2009,1,Atos obscenos/libidinosos,HAUER,2
2009,1,Atos obscenos/libidinosos,PORTÃO,1
2009,1,Averiguação,ABRANCHES,1
2009,1,Averiguação,ÁGUA VERDE,1
2009,1,Averiguação,ALTO BOQUEIRÃO,4
2009,1,Averiguação,ALTO DA RUA XV,1
2009,1,Averiguação,ATUBA,2
2009,1,Averiguação,AUGUSTA,1
2009,1,Averiguação,BACACHERI,1
2009,1,Averiguação,BARREIRINHA,2
2009,1,Averiguação,BIGORRILHO,1
2009,1,Averiguação,BOA VISTA,1
2009,1,Averiguação,BOQUEIRÃO,1
2009,1,Averiguação,CABRAL,4
2009,1,Averiguação,CAJURU,3
2009,1,Averiguação,CAMPO COMPRIDO,1
2009,1,Averiguação,CAPÃO DA IMBUIA,1
2009,1,Averiguação,CAPÃO RASO,3
2009,1,Averiguação,CENTRO,15
2009,1,Averiguação,CENTRO CÍVICO,2
2009,1,Averiguação,CIDADE INDUSTRIAL,4
2009,1,Averiguação,FAZENDINHA,1
2009,1,Averiguação,GUAÍRA,1
2009,1,Averiguação,HAUER,2
2009,1,Averiguação,JARDIM BOTÂNICO,1
2009,1,Averiguação,MERCÊS,1
2009,1,Averiguação,NOVO MUNDO,3
2009,1,Averiguação,PILARZINHO,1
2009,1,Averiguação,PINHEIRINHO,1
2009,1,Averiguação,PORTÃO,3
2009,1,Averiguação,REBOUÇAS,3
2009,1,Averiguação,SANTA CÂNDIDA,3
2009,1,Averiguação,SANTO INÁCIO,1
2009,1,Averiguação,SÃO FRANCISCO,1
2009,1,Averiguação,SÍTIO CERCADO,5
2009,1,Averiguação,TATUQUARA,1
2009,1,Averiguação,XAXIM,1
2009,1,Averiguação (Defesa Civil),CIDADE INDUSTRIAL,1
2009,1,Banho em local impróprio,BAIRRO ALTO,1
2009,1,Banho em local impróprio,CENTRO,1
2009,1,Bueiro aberto/sem tampa,ALTO DA RUA XV,1
2009,1,Bueiro entupido,CIDADE INDUSTRIAL,1
2009,1,Calote,CIDADE INDUSTRIAL,1
2009,1,Conduta inconveniente,CENTRO,2
2009,1,Corte irregular de árvore,BARREIRINHA,1
2009,1,Corte irregular de árvore,CAJURU,1
2009,1,Criança perdida/desaparecida,CENTRO,1
2009,1,Crime ambiental,CABRAL,1
2009,1,Crime ambiental,SANTA FELICIDADE,1
2009,1,Dano,ABRANCHES,1
2009,1,Dano,ÁGUA VERDE,6
2009,1,Dano,AHÚ,2
2009,1,Dano,ALTO BOQUEIRÃO,7
2009,1,Dano,ALTO DA GLÓRIA,2
2009,1,Dano,ALTO DA RUA XV,5
2009,1,Dano,ATUBA,1
2009,1,Dano,BACACHERI,5
2009,1,Dano,BAIRRO ALTO,7
2009,1,Dano,BARREIRINHA,6
2009,1,Dano,BIGORRILHO,2
2009,1,Dano,BOA VISTA,4
2009,1,Dano,BOM RETIRO,1
2009,1,Dano,BOQUEIRÃO,12
2009,1,Dano,CABRAL,16
2009,1,Dano,CACHOEIRA,2
2009,1,Dano,CAJURU,10
2009,1,Dano,CAMPINA DO SIQUEIRA,6
2009,1,Dano,CAMPO COMPRIDO,2
2009,1,Dano,CAPÃO DA IMBUIA,10
2009,1,Dano,CAPÃO RASO,6
2009,1,Dano,CENTRO,18
2009,1,Dano,CENTRO CÍVICO,7
2009,1,Dano,CIDADE INDUSTRIAL,33
2009,1,Dano,CRISTO REI,1
2009,1,Dano,FAZENDINHA,3
2009,1,Dano,GUABIROTUBA,1
2009,1,Dano,GUAÍRA,10
2009,1,Dano,HAUER,5
2009,1,Dano,JARDIM BOTÂNICO,1
2009,1,Dano,JARDIM DAS AMÉRICAS,1
2009,1,Dano,JUVEVÊ,1
2009,1,Dano,MOSSUNGUÊ,1
2009,1,Dano,NOVO MUNDO,19
2009,1,Dano,ORLEANS,1
2009,1,Dano,PAROLIN,2
2009,1,Dano,PILARZINHO,2
2009,1,Dano,PINHEIRINHO,8
2009,1,Dano,PORTÃO,2
2009,1,Dano,PRADO VELHO,1
2009,1,Dano,REBOUÇAS,1
2009,1,Dano,SANTA CÂNDIDA,5
2009,1,Dano,SANTA FELICIDADE,9
2009,1,Dano,SANTA QUITÉRIA,1
2009,1,Dano,SANTO INÁCIO,3
2009,1,Dano,SÃO BRAZ,3
2009,1,Dano,SÃO FRANCISCO,4
2009,1,Dano,SÃO JOÃO,1
2009,1,Dano,SÃO LOURENÇO,1
2009,1,Dano,SÃO MIGUEL,1
2009,1,Dano,SÍTIO CERCADO,17
2009,1,Dano,TATUQUARA,6
2009,1,Dano,UBERABA,3
2009,1,Dano,UMBARÁ,1
2009,1,Dano,XAXIM,5
2009,1,Depósito irregular,CAJURU,1
2009,1,Depósito irregular,CAPÃO DA IMBUIA,1
2009,1,Desabamento,CIDADE INDUSTRIAL,3
2009,1,Desabamento,GUAÍRA,1
2009,1,Desabamento,SANTA CÂNDIDA,1
2009,1,Desacato,CAJURU,1
2009,1,Desacato,CAMPO COMPRIDO,1
2009,1,Desacato,FAZENDINHA,1
2009,1,Desacato,JARDIM BOTÂNICO,1
2009,1,Desacato,SANTA QUITÉRIA,1
2009,1,Desacato,SÍTIO CERCADO,1
2009,1,Desaparecimento,CENTRO,1
2009,1,Desaparecimento,CIDADE INDUSTRIAL,1
2009,1,Desaparecimento,SANTA CÂNDIDA,1
2009,1,Desinteligência,ÁGUA VERDE,1
2009,1,Desinteligência,CABRAL,1
2009,1,Desinteligência,CENTRO,1
2009,1,Desinteligência,FAZENDINHA,1
2009,1,Desinteligência,HAUER,1
2009,1,Desinteligência,NOVO MUNDO,1
2009,1,Desinteligência,ORLEANS,1
2009,1,Desinteligência,SÍTIO CERCADO,1
2009,1,Destelhamento,BAIRRO ALTO,1
2009,1,Destelhamento,CAJURU,1
2009,1,Destelhamento,CAMPO DE SANTANA,1
2009,1,Destelhamento,GANCHINHO,1
2009,1,Destelhamento,TATUQUARA,4
2009,1,Disparo de arma,ABRANCHES,1
2009,1,Disparo de arma,CAMPO COMPRIDO,2
2009,1,Embriaguez,CENTRO,2
2009,1,Embriaguez,CIDADE INDUSTRIAL,1
2009,1,Embriaguez,PORTÃO,1
2009,1,Encaminhamento,BACACHERI,1
2009,1,Encaminhamento,BIGORRILHO,1
2009,1,Encaminhamento,BOA VISTA,1
2009,1,Encaminhamento,CABRAL,1
2009,1,Encaminhamento,CAJURU,1
2009,1,Encaminhamento,CENTRO,4
2009,1,Encaminhamento,CRISTO REI,1
2009,1,Encaminhamento,FAZENDINHA,1
2009,1,Encaminhamento,HAUER,1
2009,1,Encaminhamento,LINDÓIA,1
2009,1,Encaminhamento,MERCÊS,1
2009,1,Encaminhamento,PILARZINHO,1
2009,1,Encaminhamento,PINHEIRINHO,1
2009,1,Encaminhamento,PORTÃO,1
2009,1,Encaminhamento,SANTA FELICIDADE,2
2009,1,Encaminhamento,SÍTIO CERCADO,4
2009,1,Encaminhamento,XAXIM,1
2009,1,Erosão,CAJURU,3
2009,1,Erosão,CAMPO DE SANTANA,1
2009,1,Erosão,CAPÃO RASO,1
2009,1,Erosão,CIDADE INDUSTRIAL,1
2009,1,Erosão,LINDÓIA,1
2009,1,Erosão,NOVO MUNDO,1
2009,1,Erosão,PILARZINHO,1
2009,1,Erosão,PINHEIRINHO,1
2009,1,Erosão,SANTA FELICIDADE,2
2009,1,Erosão,SÍTIO CERCADO,1
2009,1,Erosão,UBERABA,2
2009,1,Erosão,XAXIM,1
2009,1,Escolta,CAJURU,1
2009,1,Escolta,SANTA FELICIDADE,1
2009,1,Escrito ou objeto obsceno (panfletos pornográficos),CENTRO,5
2009,1,Explosão,ALTO BOQUEIRÃO,1
2009,1,Extorsão,CENTRO,1
2009,1,Favorecimento da prostituição,CENTRO,3
2009,1,Fornecimento de bebida alcoólica à menores,CENTRO,1
2009,1,Fuga de aluno/interno,SANTO INÁCIO,1
2009,1,Furto,,1
2009,1,Furto,ÁGUA VERDE,1
2009,1,Furto,AUGUSTA,1
2009,1,Furto,BIGORRILHO,1
2009,1,Furto,BOQUEIRÃO,2
2009,1,Furto,CAJURU,3
2009,1,Furto,CAPÃO RASO,1
2009,1,Furto,CENTRO,8
2009,1,Furto,CIDADE INDUSTRIAL,3
2009,1,Furto,FAZENDINHA,2
2009,1,Furto,GUAÍRA,1
2009,1,Furto,JARDIM BOTÂNICO,2
2009,1,Furto,NOVO MUNDO,1
2009,1,Furto,PINHEIRINHO,5
2009,1,Furto,SANTA CÂNDIDA,2
2009,1,Furto,SANTA FELICIDADE,1
2009,1,Furto,SÍTIO CERCADO,6
2009,1,Furto,UBERABA,1
2009,1,Importunação sexual,GUAÍRA,1
2009,1,Incêndio,BACACHERI,1
2009,1,Incêndio,BOQUEIRÃO,1
2009,1,Incêndio,REBOUÇAS,1
2009,1,Invasão,ABRANCHES,2
2009,1,Invasão,ALTO BOQUEIRÃO,6
2009,1,Invasão,ATUBA,2
2009,1,Invasão,BAIRRO ALTO,1
2009,1,Invasão,BOA VISTA,8
2009,1,Invasão,BOQUEIRÃO,4
2009,1,Invasão,CAJURU,5
2009,1,Invasão,CAMPINA DO SIQUEIRA,1
2009,1,Invasão,CAMPO COMPRIDO,1
2009,1,Invasão,CAPÃO RASO,1
2009,1,Invasão,CENTRO,6
2009,1,Invasão,CIDADE INDUSTRIAL,20
2009,1,Invasão,GUAÍRA,3
2009,1,Invasão,JARDIM BOTÂNICO,1
2009,1,Invasão,MOSSUNGUÊ,1
2009,1,Invasão,NOVO MUNDO,3
2009,1,Invasão,PINHEIRINHO,4
2009,1,Invasão,PRADO VELHO,2
2009,1,Invasão,SANTA CÂNDIDA,4
2009,1,Invasão,SANTA FELICIDADE,3
2009,1,Invasão,SANTA QUITÉRIA,1
2009,1,Invasão,SÍTIO CERCADO,7
2009,1,Invasão,TATUQUARA,3
2009,1,Invasão,UBERABA,3
2009,1,Invasão,UMBARÁ,2
2009,1,Lesão Corporal,BOA VISTA,1
2009,1,Lesão Corporal,CENTRO,1
2009,1,Manifestação,SÍTIO CERCADO,1
2009,1,Maus tratos à pessoas,PORTÃO,1
2009,1,Moeda Falsa,CAPÃO RASO,1
2009,1,Óbito,BOQUEIRÃO,1
2009,1,Óbito,PINHEIRINHO,1
2009,1,Orientação,CAJURU,1
2009,1,Orientação,CENTRO,6
2009,1,Orientação,CENTRO CÍVICO,1
2009,1,Orientação,FAZENDINHA,3
2009,1,Orientação,JARDIM BOTÂNICO,1
2009,1,Orientação,PILARZINHO,1
2009,1,Orientação,PORTÃO,1
2009,1,Orientação,SANTO INÁCIO,1
2009,1,Orientação,SÃO FRANCISCO,1
2009,1,Paciente/usuário alterado,SÍTIO CERCADO,1
2009,1,Peculato,BIGORRILHO,1
2009,1,Peculato,SÍTIO CERCADO,1
2009,1,Perturbação do sossego,ABRANCHES,3
2009,1,Perturbação do sossego,ÁGUA VERDE,8
2009,1,Perturbação do sossego,AHÚ,2
2009,1,Perturbação do sossego,ALTO BOQUEIRÃO,8
2009,1,Perturbação do sossego,ALTO DA GLÓRIA,1
2009,1,Perturbação do sossego,ALTO DA RUA XV,1
2009,1,Perturbação do sossego,ATUBA,2
2009,1,Perturbação do sossego,BACACHERI,4
2009,1,Perturbação do sossego,BAIRRO ALTO,18
2009,1,Perturbação do sossego,BARREIRINHA,5
2009,1,Perturbação do sossego,BATEL,1
2009,1,Perturbação do sossego,BIGORRILHO,4
2009,1,Perturbação do sossego,BOA VISTA,6
2009,1,Perturbação do sossego,BOM RETIRO,2
2009,1,Perturbação do sossego,BOQUEIRÃO,23
2009,1,Perturbação do sossego,BUTIATUVINHA,2
2009,1,Perturbação do sossego,CABRAL,3
2009,1,Perturbação do sossego,CACHOEIRA,2
2009,1,Perturbação do sossego,CAJURU,24
2009,1,Perturbação do sossego,CAMPO COMPRIDO,14
2009,1,Perturbação do sossego,CAMPO DE SANTANA,4
2009,1,Perturbação do sossego,CAPÃO DA IMBUIA,10
2009,1,Perturbação do sossego,CAPÃO RASO,16
2009,1,Perturbação do sossego,CASCATINHA,1
2009,1,Perturbação do sossego,CAXIMBA,1
2009,1,Perturbação do sossego,CENTRO,9
2009,1,Perturbação do sossego,CENTRO CÍVICO,1
2009,1,Perturbação do sossego,CIDADE INDUSTRIAL,45
2009,1,Perturbação do sossego,CRISTO REI,1
2009,1,Perturbação do sossego,FANNY,1
2009,1,Perturbação do sossego,FAZENDINHA,16
2009,1,Perturbação do sossego,GANCHINHO,2
2009,1,Perturbação do sossego,GUABIROTUBA,3
2009,1,Perturbação do sossego,GUAÍRA,5
2009,1,Perturbação do sossego,HAUER,4
2009,1,Perturbação do sossego,JARDIM DAS AMÉRICAS,1
2009,1,Perturbação do sossego,JARDIM SOCIAL,1
2009,1,Perturbação do sossego,JUVEVÊ,1
2009,1,Perturbação do sossego,LINDÓIA,5
2009,1,Perturbação do sossego,MERCÊS,4
2009,1,Perturbação do sossego,MOSSUNGUÊ,1
2009,1,Perturbação do sossego,NOVO MUNDO,11
2009,1,Perturbação do sossego,ORLEANS,1
2009,1,Perturbação do sossego,PAROLIN,1
2009,1,Perturbação do sossego,PILARZINHO,9
2009,1,Perturbação do sossego,PINHEIRINHO,20
2009,1,Perturbação do sossego,PORTÃO,14
2009,1,Perturbação do sossego,PRADO VELHO,1
2009,1,Perturbação do sossego,REBOUÇAS,4
2009,1,Perturbação do sossego,SANTA CÂNDIDA,9
2009,1,Perturbação do sossego,SANTA FELICIDADE,13
2009,1,Perturbação do sossego,SANTA QUITÉRIA,6
2009,1,Perturbação do sossego,SANTO INÁCIO,3
2009,1,Perturbação do sossego,SÃO BRAZ,7
2009,1,Perturbação do sossego,SÍTIO CERCADO,41
2009,1,Perturbação do sossego,TATUQUARA,19
2009,1,Perturbação do sossego,TINGUI,1
2009,1,Perturbação do sossego,UBERABA,14
2009,1,Perturbação do sossego,UMBARÁ,5
2009,1,Perturbação do sossego,VISTA ALEGRE,1
2009,1,Perturbação do sossego,XAXIM,22
2009,1,Pesca em local proibido,AUGUSTA,2
2009,1,Pesca em local proibido,BOQUEIRÃO,1
2009,1,Pesca em local proibido,FAZENDINHA,2
2009,1,Pesca em local proibido,SANTO INÁCIO,2
2009,1,Poluição visual/ambiental,BOM RETIRO,2
2009,1,Poluição visual/ambiental,CAJURU,1
2009,1,Poluição visual/ambiental,CAPÃO DA IMBUIA,2
2009,1,Poluição visual/ambiental,CENTRO,2
2009,1,Poluição visual/ambiental,CENTRO CÍVICO,2
2009,1,Poluição visual/ambiental,CIDADE INDUSTRIAL,1
2009,1,Poluição visual/ambiental,HAUER,1
2009,1,Poluição visual/ambiental,MERCÊS,2
2009,1,Poluição visual/ambiental,PINHEIRINHO,1
2009,1,Poluição visual/ambiental,REBOUÇAS,1
2009,1,Poluição visual/ambiental,SÃO FRANCISCO,1
2009,1,Poluição visual/ambiental,SÍTIO CERCADO,1
2009,1,Porte Ilegal,CENTRO,2
2009,1,Porte Ilegal,NOVO MUNDO,1
2009,1,Proteção ao patrimônio,CAMPINA DO SIQUEIRA,1
2009,1,Proteção ao patrimônio,CENTRO CÍVICO,1
2009,1,Queda de árvore,ABRANCHES,1
2009,1,Queda de árvore,ALTO BOQUEIRÃO,1
